t,rx_bytes,rx_pkts,tx_bytes,tx_pkts
1,427698,915,227474,493
2,752,4,662,3
3,502,1,592,2
4,502,1,502,1
5,70,1,0,0
6,42,1,112,2
7,0,0,0,0
8,20744,42,112200,250
9,198132,418,239274,481
10,2254,13,7776,14
11,122302,405,1879866,3621
12,917698,2973,12112148,18100
13,126910,335,317650,589
14,124436,312,340974,591
15,82576,230,367644,612
16,75094,215,375692,616
17,312912,752,771972,1868
18,74832,214,377950,621
19,87284,318,1205184,2288
20,74590,215,1745292,3360
21,116242,457,9799112,7578
22,76524,216,12162728,8518
23,77710,221,12128194,8499
24,76154,219,12121858,8491
25,273240,624,12214598,8933
26,75868,220,12094090,8487
27,87266,319,12153862,9439
28,76784,224,12155656,9988
29,76300,220,12206582,8687
30,74882,213,12020964,8428
31,75232,218,12080634,8459
32,76008,220,12098898,8479
33,273296,624,12145726,8895
34,75574,217,12117766,8491
35,87898,321,12116252,9798
36,75150,215,12175738,9721
37,75664,218,12178370,8663
38,75080,216,12003446,8413
39,75332,218,12099924,8484
40,78558,225,12102874,8593
41,271474,623,12205590,8823
42,75190,217,12118838,8491
43,86296,314,12111562,9993
44,78026,231,12164002,9409
45,75798,215,12042278,8577
46,75574,217,12124486,8491
47,74874,215,12158824,8520
48,77192,220,12133562,8635
49,271474,623,12133962,8751
50,76290,219,12092150,8475
51,86772,314,12105652,10326
52,77506,231,12203602,9127
53,75412,216,12139428,8634
54,75742,215,12070378,8447
55,76134,217,12090830,8479
56,77946,223,12102908,8668
57,271158,621,12147692,8706
58,74882,213,12155934,8507
59,87394,321,12177062,10621
60,75856,220,12115456,8782
61,75626,219,12205434,8689
62,75652,218,12113026,8489
63,78424,222,12106878,8485
64,78370,227,12116582,8731
65,271284,618,12158512,8662
66,75574,217,12121170,8491
67,87694,323,12084326,10551
68,76756,224,12117226,8771
69,76088,218,12112976,8622
70,98598,413,12081034,8665
71,94006,263,12005005,8972
72,116590,463,12080839,9497
73,312202,869,12075561,9430
74,116116,472,12127841,9302
75,126986,555,12206401,11576
76,116322,457,12162439,9599
77,115858,461,12145460,9200
78,456958,1857,12273963,10365
79,501240,2203,12214098,10167
80,119430,481,12114863,9549
81,311182,863,12151723,9267
82,115652,452,12222780,9246
83,88898,325,12154476,10842
84,76790,221,12025514,8593
85,76300,216,12191286,8673
86,75642,217,12097872,8478
87,75340,214,12103068,8486
88,78090,225,12165254,8763
89,271506,619,12186660,8678
90,75806,219,12006132,8552
91,88586,327,12223918,10839
92,475725,1932,12306409,10636
93,75246,217,12145310,8825
94,75574,217,12025992,8434
95,76290,219,12114268,8482
96,274356,632,12123634,8747
97,75418,215,12103142,8617
98,76300,220,12192412,8678
99,88044,326,12229182,10911
100,75786,219,12117206,8631
101,76300,220,12192358,8689
102,588251,2801,12080056,11829
103,77664,222,12140108,8508
104,273892,630,12099864,8728
105,76578,219,12062200,8590
106,75496,216,12120856,8492
107,89010,327,12293848,10920
108,76342,221,12037950,8687
109,75652,218,12194030,8567
110,75590,217,12155604,8658
111,76212,218,12101780,8480
112,658833,2424,12140093,10974
113,75574,217,12113854,8623
114,75066,215,12229848,8564
115,87906,325,12216522,10939
116,75530,215,12088660,8742
117,76290,219,12180828,8534
118,76300,220,12113720,8626
119,75574,217,11931558,8373
120,274360,630,12284754,8983
121,75574,217,12115496,8500
122,570053,2464,12252710,11538
123,88772,334,12200590,10935
124,78052,224,12040574,8719
125,76578,219,12189984,8542
126,75206,213,12060634,8453
127,74882,213,12104104,8480
128,273838,629,12185906,8923
129,74208,212,12040964,8438
130,76320,220,12114366,8623
131,87266,323,12195046,10967
132,3521691,4523,12159243,11265
133,6870816,4738,12109874,8483
134,6850664,4728,12106318,8483
135,6842382,4717,12106034,8479
136,7038352,5124,12142520,8866
137,6842038,4715,12048626,8469
138,6842044,4718,12120700,8626
139,6854302,4827,12282324,11050
140,6842236,4720,12041516,8714
141,6841520,4716,12175610,8527
142,7249581,6450,12220622,10560
143,6883772,4974,12110908,9300
144,7181868,5222,12117288,8876
145,6875516,4738,12040834,8437
146,5992246,4161,12124610,8503
147,87806,327,12301797,11222
148,75742,219,12110718,8625
149,76290,219,12081086,8467
150,74726,211,12163866,8523
151,76814,221,12110640,8620
152,659913,2310,12254513,10992
153,74974,215,12055314,8455
154,73976,210,12071518,8443
155,88000,322,12323950,11127
156,76018,221,12034260,8578
157,74670,211,12071050,8449
158,76290,219,12082016,8466
159,76814,221,12116792,8626
160,272636,626,12202044,8928
