t,rx_bytes,rx_pkts,tx_bytes,tx_pkts
1,427884,910,227914,493
2,662,3,1164,4
3,592,2,1094,3
4,502,1,1004,2
5,42,1,42,1
6,70,1,70,1
7,0,0,0,0
8,0,0,0,0
9,217860,460,351624,732
10,1752,8,2668,6
11,3158,21,56656,80
12,1041428,3142,10832346,19061
13,151652,524,4259152,4494
14,128810,321,336490,581
15,128164,320,364216,598
16,74116,212,365760,602
17,273404,626,573278,1115
18,75598,215,371758,607
19,74960,214,368326,599
20,87786,323,3173084,6216
21,116292,450,8775820,6902
22,76422,217,12054018,8453
23,75872,216,12021862,8421
24,76366,217,12069386,8459
25,273128,626,12231708,8948
26,75978,215,12071918,8463
27,76290,219,12088234,8473
28,88322,325,12163640,11652
29,76396,220,12104800,8620
30,75574,217,12099994,8479
31,74578,215,12093400,8474
32,74728,214,12065192,8454
33,273494,627,11997204,8786
34,74646,213,12092910,8489
35,76464,220,12059982,8449
36,88400,326,12129218,11541
37,76300,220,12087044,8608
38,75574,217,12075972,8472
39,75686,217,12133864,8506
40,75574,217,11983076,8408
41,273664,628,12180430,8919
42,75640,216,12033630,8439
43,75574,217,12005248,8416
44,88400,326,12310506,12209
45,75402,215,12140012,8644
46,75496,216,12066132,8460
47,74858,215,12080658,8469
48,75826,219,11989962,8411
49,273068,628,12091410,8859
50,75574,217,12159138,8523
51,74882,213,12098084,8474
52,88952,332,12193730,11687
53,77034,221,12088820,8614
54,75574,217,12081440,8470
55,76862,221,11958698,8395
56,74306,213,12115250,8491
57,273584,628,12234464,8952
58,74364,214,12008030,8417
59,75496,216,12087550,8473
60,88100,328,12229712,11948
61,76300,220,12093718,8619
62,74378,213,12137588,8502
63,75402,219,11939394,8375
64,75946,219,12074700,8570
65,272498,623,12060016,8738
66,77214,219,12160720,8524
67,74780,214,12072316,8460
68,88612,328,12306350,12133
69,76088,218,12088194,8615
70,101690,437,12079384,8912
71,91416,252,12082431,8819
72,116596,458,12088489,9384
73,312998,877,11997971,9491
74,117254,471,12093521,9280
75,119440,480,12180591,9233
76,128182,569,12215579,12359
77,117796,474,12068625,9394
78,116142,457,12063043,9255
79,500555,2155,12156082,10239
80,422515,1789,12160030,10197
81,341264,1070,12122194,9383
82,116838,473,12064343,9257
83,122986,525,12101617,9250
84,82564,274,12118806,11493
85,76598,219,12016600,8556
86,75528,216,12065620,8462
87,76332,220,12067858,8457
88,74750,217,12113882,8597
89,272604,624,12214968,8838
90,74882,213,12145792,8508
91,82656,276,12089038,8635
92,81324,272,12010848,11722
93,472168,1882,12426496,10770
94,102283,421,12148817,8754
95,76290,219,12089520,8476
96,173506,423,11957856,8498
97,174738,421,12038652,8714
98,74858,215,11975262,8393
99,82332,272,12129290,8661
100,82040,274,12130762,11645
101,75134,213,12122494,8627
102,75574,217,12085906,8477
103,532785,2272,12220458,11332
104,273114,631,12000508,8530
105,76992,218,12076180,8732
106,76422,217,12091080,8476
107,84356,294,12082132,8502
108,81204,254,12114014,11571
109,75574,217,12103158,8593
110,75574,217,12098170,8479
111,77530,223,12091026,8611
112,271082,623,12105674,8599
113,485221,1922,12038994,10745
114,103894,419,12068453,8650
115,86640,314,12079416,8522
116,77494,231,12126796,11734
117,75684,218,12058432,8456
118,74166,211,12122060,8488
119,77036,222,12088264,8610
120,271262,621,12083538,8587
121,76602,219,12010940,8696
122,75110,217,12105480,8486
123,524607,2253,12162484,11809
124,107056,438,12037778,11369
125,76578,219,12092902,8479
126,75862,217,12052890,8449
127,75796,218,12080786,8471
128,273142,627,12079766,8645
129,74490,211,12044236,8632
130,74858,215,12063602,8453
131,87716,320,12179424,9536
132,77260,228,12192016,11120
133,2697767,3797,12300403,11265
134,6878860,4742,12043544,8448
135,6864214,4733,12043756,8448
136,7069380,5152,12083608,8728
137,6840804,4714,12072822,8583
138,6842188,4718,12084056,8470
139,6853658,4819,12094268,9528
140,6843084,4726,12115384,10764
141,6841914,4717,12113494,8633
142,6841420,4716,12075032,8464
143,7271385,6684,12079514,10986
144,7080678,5391,12132976,9440
145,6842166,4715,12097824,8548
146,6842440,4718,12070636,8460
147,7002560,4920,12089488,9752
148,157828,290,12132841,10658
149,74858,215,12107100,8488
150,75574,217,12086586,8473
151,75494,217,11980174,8407
152,274208,632,12170984,9052
153,506627,2109,12223667,10493
154,75574,217,12088112,8478
155,87368,320,12075056,9960
156,77692,228,12101454,10199
157,75574,217,12097138,8481
158,74722,213,12114842,8487
159,75574,217,11983860,8406
160,274592,632,12247874,9101
