t,rx_bytes,rx_pkts,tx_bytes,tx_pkts
1,427146,907,226682,485
2,160,2,1164,4
3,90,1,1094,3
4,0,0,1004,2
5,0,0,0,0
6,42,1,112,2
7,70,1,0,0
8,0,0,0,0
9,218666,469,351976,740
10,1774,9,5054,9
11,2946,19,53984,76
12,951506,3253,11377496,19532
13,142866,461,3198566,3451
14,128308,320,340242,593
15,127612,320,368968,616
16,74166,211,372880,608
17,281316,646,606116,1262
18,72734,207,371896,610
19,75598,215,371042,613
20,124124,536,2911088,5912
21,99478,283,10334368,8168
22,76294,217,12535358,8769
23,77582,221,12543808,8772
24,76394,217,12533440,8770
25,273486,629,12527182,9149
26,76088,216,12540890,8771
27,74332,214,12535402,8769
28,87588,322,12530596,11356
29,75982,217,12540760,9040
30,75574,217,12539504,8778
31,74858,215,12531908,8770
32,74900,216,12535554,8767
33,274570,633,12537154,9153
34,75574,217,12534208,8768
35,75578,215,12533102,8767
36,88554,327,12531574,11507
37,74726,215,12535976,9036
38,75334,217,12533818,8765
39,75002,215,12531420,8766
40,75574,217,12534462,8765
41,274302,629,12531218,9159
42,75574,217,12505568,8750
43,75574,217,12556814,8785
44,89868,334,12531158,11337
45,76522,221,12532474,9035
46,73986,211,12526814,8763
47,74566,211,12535824,8764
48,75080,216,12530136,8760
49,273664,628,12535230,9155
50,75574,217,12539232,8766
51,76290,219,12534952,8770
52,89376,330,12530024,11410
53,75664,218,12533140,8988
54,74142,213,12527148,8758
55,74780,214,12529306,8773
56,76102,221,12544524,8826
57,272206,619,12530884,9094
58,75122,217,12528458,8773
59,79312,252,12546770,8789
60,84128,290,12528250,11493
61,76300,220,12526780,8922
62,74036,212,12529998,8771
63,76276,216,12530320,8760
64,75638,221,12527612,8876
65,272384,622,12537944,9052
66,76068,218,12533372,8768
67,82500,286,12531566,8797
68,80910,259,12536890,11353
69,74520,212,12530158,8893
70,75566,217,12532898,8769
71,119362,481,12539681,9524
72,116030,461,12534851,9687
73,314068,880,12532609,9756
74,117066,471,12532183,9575
75,127562,567,12531054,9329
76,119724,496,12533525,12320
77,115468,456,12540983,9649
78,117314,465,12534983,9571
79,435688,1730,12531403,10591
80,417717,1766,12536478,10195
81,340235,1069,12533332,9662
82,116930,461,12536023,9575
83,125240,554,12536751,9615
84,78608,234,12534482,11437
85,76262,217,12530538,8899
86,76578,219,12534366,8777
87,75312,214,12529270,8761
88,173788,422,12529808,8876
89,175810,423,12536280,9048
90,76290,219,12536538,8769
91,86934,319,12532348,8946
92,76968,226,12542094,11391
93,520162,2165,12536192,10754
94,105849,434,12533881,9072
95,75468,216,12528010,8763
96,273480,630,12527736,9006
97,75016,216,12528702,8911
98,74804,212,12540628,8768
99,87536,322,12529618,9207
100,77138,227,12531280,11172
101,76978,221,12537736,8906
102,75574,217,12530596,8770
103,523560,2152,12532263,11335
104,301677,844,12534841,9310
105,76870,217,12527978,8901
106,75862,217,12529872,8764
107,88024,322,12536318,9383
108,78146,229,12535440,10944
109,73290,209,12531742,8787
110,75574,217,12537462,8769
111,76856,222,12533720,8906
112,271478,623,12530522,8973
113,460084,1826,12535998,10659
114,104399,427,12533771,9063
115,86984,320,12532798,9689
116,77120,226,12526908,10576
117,75574,217,12528890,8763
118,75574,217,12528082,8763
119,76320,220,12536518,8907
120,273324,628,12533460,9076
121,75642,217,12527234,8845
122,75574,217,12542218,8769
123,503122,1977,12531383,11855
124,157557,772,12528311,11245
125,76752,220,12533956,8768
126,75784,216,12533398,8761
127,75258,215,12529234,8769
128,274500,632,12543622,9169
129,75574,217,12531774,8761
130,75574,217,12530958,8767
131,88740,324,12534008,10348
132,77244,228,12531882,10027
133,1817900,2542,12528900,10846
134,6871161,4928,12543337,9022
135,6841808,4716,12530202,8763
136,7039042,5123,12528640,9142
137,6841262,4715,12542430,8777
138,6994636,4822,12534178,8769
139,6876624,4836,12530760,10564
140,6871838,4747,12541684,9866
141,6865810,4737,12531428,8902
142,6842158,4717,12532658,8765
143,7299902,6713,12538660,11114
144,7107967,5589,12533232,10093
145,6843512,4720,12530526,8767
146,6842784,4716,12540504,8774
147,6854776,4820,12531506,10975
148,753478,679,12535535,9639
149,75496,216,12536922,8769
150,76542,221,12530952,8770
151,75468,216,12528694,8761
152,273954,631,12540922,9299
153,438946,1603,12532546,10555
154,102579,419,12531945,9002
155,87196,322,12533318,11171
156,76724,224,12528306,9311
157,76280,218,12529626,8765
158,74858,215,12525804,8758
159,74616,216,12527922,8763
160,272564,628,12527296,9288
