t,rx_bytes,rx_pkts,tx_bytes,tx_pkts
1,427456,916,227322,493
2,752,4,806,5
3,502,1,502,1
4,502,1,502,1
5,0,0,0,0
6,112,2,112,2
7,0,0,0,0
8,0,0,0,0
9,218114,461,351314,733
10,1484,6,2542,5
11,2868,18,56562,79
12,902602,2921,11067108,18836
13,140682,449,3191554,3527
14,125082,313,333496,576
15,125082,313,358464,588
16,74166,211,362118,591
17,320318,755,776398,1777
18,74166,211,366748,600
19,74166,211,370822,603
20,124514,533,3300922,6635
21,5739708,4044,10267564,8126
22,6843480,4720,12532034,8769
23,6842590,4717,12484104,8738
24,6985542,4811,12581124,8800
25,7033996,5120,12529062,9145
26,6900626,4753,12532108,8768
27,6870336,4740,12531538,8761
28,6854276,4824,12531650,11815
29,6842852,4720,12533334,9037
30,6840694,4713,12532376,8760
31,6840598,4713,12532978,8761
32,6841784,4714,12529936,8752
33,7038150,5123,12472220,9118
34,6841948,4716,12584854,8793
35,6839074,4707,12527096,8762
36,6854496,4826,12527518,11823
37,6842740,4720,12526978,9037
38,6842586,4719,12535372,8770
39,7015252,4828,12529070,8773
40,6880958,4743,12531550,8767
41,7051952,5134,12536526,9153
42,6841220,4714,12531004,8764
43,6841616,4716,12530016,8766
44,6854584,4828,12529644,11790
45,6843070,4723,12528594,9037
46,6840556,4712,12543274,8771
47,6841192,4714,12534386,8767
48,6841378,4715,12531212,8766
49,7039310,5125,12536864,9156
50,6840978,4715,12527332,8766
51,6999910,4817,12532142,8761
52,6881232,4848,12550580,11932
53,6882514,4745,12533010,8901
54,6841454,4715,12529356,8762
55,6841936,4716,12535536,8774
56,6842686,4721,12533720,8824
57,7037350,5117,12531310,9095
58,6841162,4713,12533458,8769
59,6841252,4714,12533524,8762
60,6852846,4821,12528102,11865
61,6841326,4715,12532466,8927
62,6841220,4714,12530916,8770
63,6984984,4810,12531192,8766
64,6880488,4746,12539146,8881
65,7061132,5138,12533878,9045
66,6865502,4735,12534962,8771
67,6845170,4751,12535282,8789
68,6850820,4792,12530812,11784
69,6840914,4711,12531032,8898
70,6846552,4746,12542334,8923
71,6881140,4954,12531915,9367
72,6883532,4974,12513989,9562
73,7076176,5372,12548495,9859
74,6882044,4954,12531491,9465
75,6890184,5018,12526695,9545
76,7037462,5087,12542177,12574
77,6922414,4989,12532891,9529
78,6916576,4994,12539520,9564
79,7196602,6275,12533765,10448
80,7251175,6549,12528464,10466
81,7105229,5564,12532090,9719
82,6884924,4980,12534795,9581
83,6887252,5020,12526491,9541
84,6849148,4776,12533684,11946
85,6842322,4717,12535364,8908
86,6841682,4715,12535984,8772
87,6840510,4711,12532040,8768
88,7013292,4970,12529470,8877
89,7045216,4986,12530016,9038
90,6869692,4734,12527934,8765
91,6870726,4815,12541662,8943
92,6844822,4743,12533188,11920
93,7285772,6696,12464244,10978
94,6870675,4931,12599399,9055
95,6841298,4715,12530396,8764
96,7036622,5119,12528810,8877
97,6842190,4715,12539110,9041
98,6841286,4713,12531954,8769
99,6852512,4812,12532688,8942
100,6844148,4736,12536458,11905
101,6996956,4820,12532658,8907
102,6875496,4740,12453666,8719
103,7342818,6775,12617195,11593
104,7069415,5355,12538501,9224
105,6843084,4718,12528904,8948
106,6842524,4718,12533236,8766
107,6853130,4813,12529730,9037
108,6842942,4727,12526968,11760
109,6841402,4715,12535676,8796
110,6839730,4709,12531926,8763
111,6843670,4721,12533312,8902
112,7038534,5125,12536074,8983
113,7390236,6422,12532384,10664
114,6897541,4944,12529295,9011
115,6889190,4831,12535500,9182
116,6833038,4735,12531082,11625
117,6874740,4742,12533862,8761
118,6840130,4713,12540936,8772
119,6842746,4719,12533792,8900
120,7037944,5124,12533656,9110
121,6840914,4715,12535930,8811
122,6841378,4715,12531132,8768
123,7222072,6348,12529583,11539
124,6924527,5289,12538223,11943
125,6841508,4714,12530640,8768
126,7009810,4831,12535994,8775
127,6877168,4740,12535652,8770
128,7047914,5131,12529484,9142
129,6858290,4729,12531060,8772
130,6840582,4713,12450912,8718
131,6854716,4824,12615036,10148
132,6843094,4727,12530332,11024
133,7463120,6406,12534228,10936
134,6870985,4926,12532325,9012
135,6842874,4719,12530448,8772
136,7037190,5119,12535728,9152
137,6841520,4716,12531140,8768
138,6980878,4807,12538192,8764
139,6891442,4843,12542400,10232
140,6866304,4746,12536874,10685
141,6867948,4736,12532858,8913
142,6842480,4718,12531328,8762
143,7242498,6617,12528806,11061
144,7106249,5582,12529200,10195
145,6842688,4720,12548624,8784
146,6842166,4715,12530712,8762
147,6855642,4825,12535474,10679
148,6844068,4732,12532713,10412
149,6841354,4713,12528922,8765
150,6842014,4717,12527214,8761
151,7009846,4827,12537046,8773
152,7062508,5140,12531506,9283
153,7250429,6200,12533096,10572
154,6870768,4922,12531047,8955
155,6853358,4821,12533102,10757
156,6842702,4725,12529478,10029
157,6840726,4713,12536456,8768
158,6840804,4714,12532226,8765
159,6841322,4713,12528480,8760
160,7039888,5128,12534262,9295
