t,rx_bytes,rx_pkts,tx_bytes,tx_pkts
1,18680,46,2972,8
2,160,2,160,2
3,90,1,90,1
4,0,0,0,0
5,0,0,0,0
6,112,2,42,1
7,0,0,70,1
8,0,0,0,0
9,9198,21,2796,6
10,0,0,0,0
11,13642,25,19552,48
12,76786,203,9452,24
13,88168,234,106,1
14,87522,233,106,1
15,86282,229,106,1
16,87156,232,282,3
17,96196,252,2902,7
18,86282,229,106,1
19,87104,232,264,2
20,89794,237,9304,22
21,88896,236,106,1
22,87040,232,148,2
23,86998,231,106,1
24,87156,232,212,2
25,95480,250,2902,7
26,86998,231,106,1
27,87104,232,264,2
28,89794,237,9304,22
29,86998,231,106,1
30,86282,229,106,1
31,87068,232,106,1
32,87156,232,212,2
33,96196,252,2972,8
34,88180,234,106,1
35,87104,232,264,2
36,89794,237,9304,22
37,87714,233,106,1
38,86998,231,106,1
39,86282,229,106,1
40,95638,251,3008,8
41,87040,232,148,2
42,86998,231,106,1
43,89942,239,9504,24
44,86282,229,106,1
45,86998,231,106,1
46,86998,231,106,1
47,87464,232,106,1
48,97070,255,3008,8
49,86998,231,106,1
50,87714,233,106,1
51,89184,236,9462,23
52,86998,231,106,1
53,86282,229,106,1
54,86998,231,106,1
55,86998,231,106,1
56,96354,253,3008,8
57,86282,229,106,1
58,89598,235,212,2
59,90616,240,9462,23
60,86998,231,106,1
61,86998,231,106,1
62,86282,229,106,1
63,87714,233,106,1
64,95680,252,3050,9
65,86998,231,106,1
66,84850,225,106,1
67,90686,241,9462,23
68,86282,229,106,1
69,86998,231,106,1
70,86998,231,106,1
71,85566,227,176,2
72,96820,254,3008,8
73,87714,233,106,1
74,86282,229,106,1
75,90616,240,9462,23
76,86998,231,106,1
77,87040,232,148,2
78,86998,231,106,1
79,86998,231,106,1
80,124438,357,12356,36
81,113230,325,10038,31
82,86998,231,106,1
83,89184,236,9462,23
84,86998,231,106,1
85,87040,232,148,2
86,87464,232,106,1
87,86998,231,106,1
88,97070,255,3008,8
89,86998,231,106,1
90,86282,229,106,1
91,89900,238,9462,23
92,87714,233,106,1
93,86998,231,106,1
94,85566,227,106,1
95,85566,227,106,1
96,95638,251,3008,8
97,86998,231,106,1
98,86998,231,106,1
99,91798,243,9462,23
100,86998,231,106,1
101,86998,231,106,1
102,86998,231,106,1
103,86998,231,106,1
104,96354,253,3008,8
105,86998,231,106,1
106,87040,232,148,2
107,89900,238,9462,23
108,86998,231,106,1
109,86998,231,106,1
110,86282,229,106,1
111,86282,229,106,1
112,96820,254,3008,8
113,86324,230,148,2
114,86998,231,106,1
115,89900,238,9462,23
116,87714,233,106,1
117,86998,231,106,1
118,86998,231,106,1
119,86998,231,106,1
120,97070,255,3008,8
121,86282,229,106,1
122,86998,231,106,1
123,89900,238,9462,23
124,86998,231,106,1
125,86998,231,106,1
126,88180,234,106,1
127,87040,232,148,2
128,96354,253,3008,8
129,86998,231,106,1
130,86998,231,106,1
131,89900,238,9462,23
132,87714,233,106,1
133,86282,229,106,1
134,86998,231,106,1
135,86998,231,106,1
136,95638,251,3008,8
137,87068,232,106,1
138,86998,231,106,1
139,91082,241,9462,23
140,86998,231,106,1
141,86998,231,106,1
142,86282,229,106,1
143,86998,231,106,1
144,96354,253,3008,8
145,86998,231,176,2
146,86998,231,106,1
147,89900,238,9462,23
148,87756,234,148,2
149,86324,230,148,2
150,86998,231,106,1
151,86998,231,106,1
152,96820,254,3008,8
153,86998,231,106,1
154,86998,231,106,1
155,90616,240,9462,23
156,86998,231,106,1
157,86282,229,106,1
158,86282,229,106,1
159,87714,233,106,1
160,96354,253,3008,8
