t,rx_bytes,rx_pkts,tx_bytes,tx_pkts
1,18680,46,2886,7
2,160,2,250,3
3,90,1,0,0
4,0,0,0,0
5,0,0,70,1
6,42,1,42,1
7,70,1,0,0
8,0,0,0,0
9,9198,21,2796,6
10,0,0,0,0
11,0,0,0,0
12,55114,143,34660,82
13,88634,235,176,2
14,87452,232,106,1
15,88238,235,106,1
16,86440,230,212,2
17,95480,250,2902,7
18,86998,231,106,1
19,86998,231,106,1
20,89900,238,9462,23
21,86998,231,106,1
22,86998,231,106,1
23,86998,231,106,1
24,87156,232,212,2
25,96196,252,2902,7
26,86282,229,106,1
27,88896,236,106,1
28,89900,238,9532,24
29,86998,231,106,1
30,86998,231,106,1
31,86998,231,106,1
32,87942,235,212,2
33,96196,252,2902,7
34,86998,231,106,1
35,87460,232,106,1
36,90196,240,9504,24
37,86998,231,106,1
38,86998,231,106,1
39,86998,231,106,1
40,88338,235,212,2
41,96196,252,2902,7
42,86998,231,106,1
43,87714,233,106,1
44,89900,238,9462,23
45,86998,231,106,1
46,86998,231,106,1
47,86998,231,106,1
48,96354,253,3008,8
49,86998,231,106,1
50,87040,232,148,2
51,86998,231,106,1
52,89900,238,9462,23
53,88180,234,106,1
54,86998,231,106,1
55,87714,233,106,1
56,96354,253,3078,9
57,86282,229,106,1
58,86998,231,106,1
59,87714,233,106,1
60,89900,238,9462,23
61,86998,231,106,1
62,86998,231,106,1
63,86998,231,106,1
64,96354,253,3008,8
65,86998,231,106,1
66,86998,231,106,1
67,89640,236,254,3
68,90686,241,9462,23
69,86998,231,106,1
70,86282,229,106,1
71,86998,231,106,1
72,97070,255,3008,8
73,87714,233,106,1
74,86998,231,106,1
75,86998,231,106,1
76,89184,236,9462,23
77,86998,231,106,1
78,86998,231,106,1
79,88180,234,106,1
80,95638,251,3008,8
81,114298,335,9814,33
82,114982,337,10194,33
83,86998,231,106,1
84,89900,238,9462,23
85,87714,233,106,1
86,86998,231,106,1
87,86998,231,106,1
88,96354,253,3008,8
89,86998,231,106,1
90,86998,231,106,1
91,86998,231,106,1
92,91082,241,9462,23
93,86998,231,106,1
94,86998,231,106,1
95,86998,231,106,1
96,96354,253,3008,8
97,87040,232,148,2
98,87714,233,106,1
99,87040,232,148,2
100,89900,238,9462,23
101,86998,231,106,1
102,86998,231,106,1
103,86998,231,106,1
104,95638,251,3008,8
105,86282,229,106,1
106,88896,236,106,1
107,86998,231,106,1
108,89900,238,9462,23
109,86998,231,106,1
110,87714,233,106,1
111,86998,231,106,1
112,96354,253,3008,8
113,86998,231,106,1
114,86998,231,106,1
115,86998,231,106,1
116,89900,238,9462,23
117,86998,231,176,2
118,86998,231,106,1
119,88180,234,106,1
120,96354,253,3008,8
121,86282,229,106,1
122,87714,233,106,1
123,86998,231,106,1
124,89184,236,9462,23
125,86998,231,106,1
126,87714,233,106,1
127,86998,231,106,1
128,96354,253,3008,8
129,87040,232,148,2
130,86998,231,106,1
131,86998,231,106,1
132,91082,241,9462,23
133,86998,231,106,1
134,86998,231,106,1
135,86998,231,106,1
136,96354,253,3008,8
137,86998,231,106,1
138,87784,234,106,1
139,86388,230,264,2
140,89794,237,9304,22
141,86282,229,106,1
142,86998,231,106,1
143,86998,231,106,1
144,94922,249,3008,8
145,88896,236,106,1
146,86282,229,106,1
147,87104,232,264,2
148,89836,238,9346,23
149,86998,231,106,1
150,86998,231,106,1
151,86998,231,106,1
152,95638,251,3008,8
153,86998,231,106,1
154,86998,231,106,1
155,87104,232,264,2
156,89794,237,9304,22
157,86282,229,106,1
158,88180,234,106,1
159,86998,231,106,1
160,96354,253,3008,8
