t,rx_bytes,rx_pkts,tx_bytes,tx_pkts
1,18626,45,2972,8
2,304,4,250,3
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,112,2,112,2
7,0,0,0,0
8,0,0,0,0
9,9198,21,2796,6
10,0,0,0,0
11,0,0,0,0
12,62984,160,34218,83
13,87452,232,176,2
14,88168,234,106,1
15,87522,233,106,1
16,87156,232,212,2
17,96196,252,2902,7
18,87714,233,106,1
19,86282,229,106,1
20,89900,238,9462,23
21,84818,225,106,1
22,86998,231,106,1
23,86998,231,106,1
24,87156,232,212,2
25,96238,253,2944,8
26,88180,234,106,1
27,86282,229,106,1
28,89184,236,9462,23
29,86282,229,176,2
30,86282,229,106,1
31,86998,231,106,1
32,87226,233,212,2
33,94764,248,2902,7
34,87714,233,106,1
35,86998,231,106,1
36,89184,236,9462,23
37,86998,231,106,1
38,86324,230,148,2
39,88180,234,106,1
40,87156,232,212,2
41,96196,252,2902,7
42,86966,231,106,1
43,86282,229,106,1
44,89184,236,9462,23
45,86998,231,106,1
46,86998,231,106,1
47,86282,229,106,1
48,94922,249,3008,8
49,85608,228,148,2
50,85566,227,106,1
51,86282,229,106,1
52,89184,236,9462,23
53,87464,232,106,1
54,86998,231,106,1
55,86998,231,106,1
56,95638,251,3008,8
57,86282,229,106,1
58,86998,231,106,1
59,85566,227,106,1
60,89900,238,9532,24
61,86282,229,106,1
62,86998,231,106,1
63,86282,229,106,1
64,96354,253,3008,8
65,85566,227,106,1
66,89598,235,212,2
67,86998,231,106,1
68,89970,239,9462,23
69,86998,231,106,1
70,87714,233,106,1
71,86998,231,106,1
72,95638,251,3008,8
73,86282,229,106,1
74,84850,225,106,1
75,86998,231,106,1
76,89184,236,9462,23
77,85566,227,106,1
78,88180,234,106,1
79,86998,231,106,1
80,94922,249,3008,8
81,114656,332,9590,29
82,112322,323,9356,26
83,86998,231,106,1
84,89900,238,9462,23
85,85566,227,106,1
86,86324,230,148,2
87,85566,227,106,1
88,95638,251,3008,8
89,86324,230,148,2
90,88180,234,106,1
91,86282,229,106,1
92,88468,234,9462,23
93,86282,229,106,1
94,86282,229,106,1
95,86282,229,106,1
96,96354,253,3008,8
97,86998,231,106,1
98,86998,231,106,1
99,87104,232,264,2
100,89794,237,9304,22
101,86282,229,106,1
102,86282,229,106,1
103,88896,236,106,1
104,96354,253,3008,8
105,86998,231,106,1
106,86282,229,106,1
107,85672,228,264,2
108,88362,233,9304,22
109,85566,227,106,1
110,86282,229,106,1
111,87714,233,106,1
112,94922,249,3008,8
113,85566,227,106,1
114,86282,229,106,1
115,87570,233,264,2
116,87614,231,9304,22
117,86282,229,106,1
118,85566,227,106,1
119,86998,231,106,1
120,95638,251,3008,8
121,86998,231,106,1
122,85566,227,106,1
123,87104,232,264,2
124,88362,233,9304,22
125,85566,227,176,2
126,86998,231,106,1
127,85566,227,106,1
128,96820,254,3008,8
129,86998,231,106,1
130,86324,230,148,2
131,85672,228,264,2
132,89794,237,9304,22
133,87068,232,106,1
134,85608,228,148,2
135,86998,231,106,1
136,95638,251,3008,8
137,86282,229,106,1
138,86998,231,106,1
139,89868,238,9462,23
140,84850,225,106,1
141,86748,230,106,1
142,86282,229,106,1
143,86282,229,106,1
144,96354,253,3008,8
145,86998,231,106,1
146,85534,227,106,1
147,88468,234,9462,23
148,86282,229,106,1
149,87714,233,106,1
150,86998,231,106,1
151,86282,229,106,1
152,96354,253,3008,8
153,88180,234,106,1
154,86282,229,106,1
155,89184,236,9462,23
156,86998,231,106,1
157,86998,231,106,1
158,86282,229,106,1
159,86282,229,106,1
160,96354,253,3008,8
