t,rx_bytes,rx_pkts,tx_bytes,tx_pkts
1,18680,46,2972,8
2,250,3,160,2
3,0,0,90,1
4,0,0,0,0
5,0,0,0,0
6,112,2,112,2
7,0,0,0,0
8,0,0,0,0
9,9198,21,2796,6
10,0,0,0,0
11,0,0,0,0
12,5935176,4080,34356,86
13,6852460,4728,230,3
14,6991444,4822,106,1
15,6885756,4754,106,1
16,6889416,4756,212,2
17,6883484,4768,2902,7
18,6852006,4727,106,1
19,6852722,4729,106,1
20,6856340,4738,9462,23
21,6851290,4725,106,1
22,6852006,4727,106,1
23,6852006,4727,106,1
24,6852880,4730,212,2
25,6862636,4752,2902,7
26,6852006,4727,106,1
27,6853438,4731,106,1
28,7002178,4835,9532,24
29,6898224,4756,106,1
30,6879458,4747,106,1
31,6860660,4738,106,1
32,6853666,4733,212,2
33,6862636,4752,2902,7
34,6851290,4725,106,1
35,6852722,4729,106,1
36,6856340,4738,9462,23
37,6853438,4731,106,1
38,6851290,4725,106,1
39,6852722,4729,106,1
40,6852880,4730,212,2
41,7025210,4857,2902,7
42,6893800,4758,106,1
43,6874368,4744,106,1
44,6855624,4736,9462,23
45,6851332,4726,148,2
46,6852006,4727,106,1
47,6854122,4733,106,1
48,6861362,4749,3008,8
49,6852764,4730,148,2
50,6852722,4729,106,1
51,6852722,4729,106,1
52,6854192,4732,9462,23
53,6994018,4823,106,1
54,6900372,4762,106,1
55,6891938,4759,106,1
56,6854222,4739,3008,8
57,6859862,4739,106,1
58,6852722,4729,176,2
59,6852006,4727,106,1
60,6855624,4736,9462,23
61,6852006,4727,106,1
62,6852006,4727,106,1
63,6851290,4725,106,1
64,6861362,4749,3008,8
65,6852722,4729,106,1
66,7025812,4844,106,1
67,6898416,4762,264,2
68,6866458,4747,9410,23
69,6853438,4731,106,1
70,6852006,4727,106,1
71,6853438,4731,106,1
72,6862078,4751,3008,8
73,6853438,4731,106,1
74,6853438,4731,106,1
75,6853544,4732,264,2
76,6854802,4733,9304,22
77,6852722,4729,106,1
78,7013700,4836,106,1
79,6873202,4741,106,1
80,6901008,4774,3008,8
81,6881702,4811,9886,31
82,6878168,4816,9706,25
83,6855380,4752,536,4
84,6856234,4737,9304,22
85,6852006,4727,106,1
86,6851290,4725,106,1
87,6852722,4729,106,1
88,6861362,4749,3008,8
89,6852048,4728,148,2
90,7004658,4831,148,2
91,6889164,4754,264,2
92,6890540,4760,9304,22
93,6857632,4736,106,1
94,6851290,4725,106,1
95,6852722,4729,106,1
96,6862794,4753,3008,8
97,6853438,4731,106,1
98,6852006,4727,106,1
99,6856340,4738,9462,23
100,6851290,4725,106,1
101,6852722,4729,106,1
102,6852722,4729,106,1
103,6918834,4773,106,1
104,6974396,4824,3008,8
105,6887826,4751,106,1
106,6864486,4739,106,1
107,6856340,4738,9462,23
108,6850574,4723,106,1
109,6852006,4727,106,1
110,6853438,4731,106,1
111,6853438,4731,106,1
112,6862078,4751,3008,8
113,6853438,4731,106,1
114,6852722,4729,106,1
115,6853476,4730,9462,23
116,7005332,4832,106,1
117,6882204,4750,106,1
118,6880174,4749,106,1
119,6870624,4740,106,1
120,6862794,4753,3008,8
121,6852722,4729,176,2
122,6852006,4727,106,1
123,6855624,4736,9462,23
124,6852722,4729,106,1
125,6852722,4729,106,1
126,6852722,4729,106,1
127,6852006,4727,106,1
128,6860646,4747,3008,8
129,6992504,4822,106,1
130,6881612,4746,148,2
131,6877618,4749,9462,23
132,6885964,4752,106,1
133,6854224,4734,106,1
134,6850616,4724,148,2
135,6853438,4731,106,1
136,6859930,4745,3008,8
137,6853438,4731,106,1
138,6852722,4729,106,1
139,6855624,4736,9462,23
140,6852006,4727,106,1
141,6852722,4729,106,1
142,6990274,4819,106,1
143,6888342,4751,106,1
144,6898614,4777,3008,8
145,6869744,4744,106,1
146,6853438,4731,106,1
147,6855624,4736,9462,23
148,6852006,4727,106,1
149,6853438,4731,106,1
150,6852722,4729,106,1
151,6850574,4723,106,1
152,6862794,4753,3008,8
153,6853406,4731,106,1
154,6852722,4729,106,1
155,7007518,4837,9462,23
156,6890572,4754,106,1
157,6888992,4754,106,1
158,6854154,4733,106,1
159,6852722,4729,106,1
160,6862078,4751,3008,8
